창고별 시즌재고조회_ajl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브랜드,품목소분류,품명,품번,카테고리2,규격,품번(규격),상품번호(샵바이),성별,시즌,최초입고일,입고일,소비자가,품목내부코드,WMS 현재고,소진율,가용재고,POS연동바코드,대기,대기(부산),대기(신사),매장 (부산),매장 (신사동),물류센터,반품,불량창고(물류센터),오픈임시분류,포이즌,B2B 창고
,,,,,,,,,,,,"988,638,512.00",,"14,943",,,,569,248,106,"6,077","8,987","14,291",374,83,4,273,963
노다,신발(노다),001A,001A-ALMOND-M,신발,260,001A-ALMOND-M(260),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40193,3,0.0,4,990497804277,0,0,0,1,1,3,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-M,신발,265,001A-ALMOND-M(265),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40194,3,0.0,4,990497804284,0,0,0,1,1,3,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-M,신발,270,001A-ALMOND-M(270),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40195,8,0.0,11,990497804291,0,0,0,1,2,8,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-M,신발,275,001A-ALMOND-M(275),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40196,7,0.0,10,990497804307,0,0,0,2,1,7,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-M,신발,280,001A-ALMOND-M(280),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40197,6,0.0,10,990497804314,0,0,0,2,2,6,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-M,신발,285,001A-ALMOND-M(285),136518502,남성,26FW,2026-07-28,2026-07-28,"399,000.00",40198,5,0.0,7,990497804321,0,0,0,1,1,5,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-W,신발,235,001A-ALMOND-W(235),136518501,여성,26FW,2026-07-28,2026-07-28,0.00,40209,0,0.0,1,990497804192,0,0,1,0,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-W,신발,240,001A-ALMOND-W(240),136518501,여성,26FW,2026-07-28,2026-07-28,"399,000.00",40210,2,0.0,4,990497804208,0,0,0,1,1,2,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-W,신발,245,001A-ALMOND-W(245),136518501,여성,26FW,2026-07-28,2026-07-28,"399,000.00",40211,4,0.0,6,990497804215,0,0,0,1,1,4,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-W,신발,250,001A-ALMOND-W(250),136518501,여성,26FW,2026-07-28,2026-07-28,"399,000.00",40212,3,0.0,4,990497804222,0,0,0,1,0,3,0,0,0,0,0
노다,신발(노다),001A,001A-ALMOND-W,신발,255,001A-ALMOND-W(255),136518501,여성,26FW,2026-07-28,2026-07-28,"399,000.00",40213,1,0.0,3,990497804239,0,0,0,1,1,1,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,260,001A-ASTRAL-M(260),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31888,0,0.0,1,990497801085,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,265,001A-ASTRAL-M(265),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31889,0,0.0,2,990497801092,0,0,0,2,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,270,001A-ASTRAL-M(270),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31890,0,0.0,3,990497801108,0,0,0,2,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,275,001A-ASTRAL-M(275),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31891,0,0.0,1,990497801115,0,0,0,1,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,280,001A-ASTRAL-M(280),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31892,0,0.0,1,990497801122,0,0,0,1,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-ASTRAL-M,신발,285,001A-ASTRAL-M(285),132872637,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31893,0,0.0,1,990497801139,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,260,001A-HORIZON-M(260),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31867,0,0.0,3,990497800873,0,0,0,3,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,265,001A-HORIZON-M(265),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31868,1,0.0,2,990497800880,0,0,0,1,0,1,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,270,001A-HORIZON-M(270),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31869,2,0.0,5,990497800897,0,0,0,2,1,2,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,275,001A-HORIZON-M(275),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31870,0,0.0,2,990497800903,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,280,001A-HORIZON-M(280),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31871,0,0.0,1,990497800910,0,0,0,1,0,0,0,0,0,0,0
노다,신발(노다),001A,001A-HORIZON-M,신발,285,001A-HORIZON-M(285),132872635,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31872,0,0.0,2,990497800927,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,260,001A-SCORIA-M(260),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41037,1,0.0,3,990497804710,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,265,001A-SCORIA-M(265),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41038,2,0.0,4,990497804727,0,1,0,0,1,2,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,270,001A-SCORIA-M(270),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41039,4,0.0,8,990497804734,0,2,0,0,2,4,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,275,001A-SCORIA-M(275),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41040,4,0.0,8,990497804741,0,2,0,0,2,4,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,280,001A-SCORIA-M(280),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41041,3,0.0,7,990497804758,0,2,0,0,2,3,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-M,신발,285,001A-SCORIA-M(285),,남성,26FW,2026-08-28,2026-08-28,"399,000.00",41042,3,0.0,5,990497804765,0,1,0,0,1,3,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-W,신발,235,001A-SCORIA-W(235),,여성,26FW,2026-08-28,2026-08-28,"399,000.00",41053,1,0.0,1,,0,0,0,0,0,1,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-W,신발,240,001A-SCORIA-W(240),,여성,26FW,2026-08-28,2026-08-28,"399,000.00",41054,1,0.0,3,990497804642,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-W,신발,245,001A-SCORIA-W(245),,여성,26FW,2026-08-28,2026-08-28,"399,000.00",41055,3,0.0,5,990497804659,0,1,0,0,1,3,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-W,신발,250,001A-SCORIA-W(250),,여성,26FW,2026-08-28,2026-08-28,"399,000.00",41056,2,0.0,4,990497804666,0,1,0,0,1,2,0,0,0,0,0
노다,신발(노다),001A,001A-SCORIA-W,신발,255,001A-SCORIA-W(255),,여성,26FW,2026-08-28,2026-08-28,"399,000.00",41057,1,0.0,2,,0,1,0,0,0,1,0,0,0,0,0
노다,신발(노다),001A,001A-SKY-M,신발,260,001A-SKY-M(260),132872626,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31846,0,0.0,2,990497800668,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-SKY-M,신발,265,001A-SKY-M(265),132872626,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31847,0,0.0,1,990497800675,0,0,0,0,1,0,0,0,0,0,0
