품번,카테고리,상품명,소비자가,프로모션 할인,프로모션 할인가,프로모션 이름,시작 일자,종료 일자
24FW-BCV-BLK,용품,비컨 베스트," 73,000 ",30%," 51,100 ",트레일위크,2026-09-05,2026-09-18
24FW-BKB-BLK,용품,비컨 니 밴드," 59,000 ",30%," 41,300 ",트레일위크,2026-09-05,2026-09-18
23FW-VHH-BLK,용품,하이드레이션 힙 색," 98,000 ",30%," 68,600 ",트레일위크,2026-09-05,2026-09-18
FZ0006-010,의류,고 하이라이즈 7/8 타이즈," 139,000 ",30%," 97,300 ",트레일위크,2026-09-05,2026-09-18
FZ1116-370,의류,써마핏 리펠 엘리멘트 집업," 129,000 ",30%," 90,300 ",트레일위크,2026-09-05,2026-09-18
FZ1124-035,의류,드라이핏 러닝 디비젼 4인치 2in1 쇼츠," 119,000 ",30%," 83,300 ",트레일위크,2026-09-05,2026-09-18
FQ0908-006,신발,리액트X 페가수스 트레일 5 GTX," 209,000 ",30%," 146,300 ",트레일위크,2026-09-05,2026-09-18
FN4003-846,의류,트레일 에어리즈 자켓," 149,000 ",30%," 104,300 ",트레일위크,2026-09-05,2026-09-18
HJ4395-475,용품,아펙스 버킷," 49,000 ",30%," 34,300 ",트레일위크,2026-09-05,2026-09-18
FN3350-085,의류,드라이핏 ADV 에어로스위프트 2인치 브리프라인드 쇼츠," 105,000 ",30%," 73,500 ",트레일위크,2026-09-05,2026-09-18
FV9995-247,의류,드라이핏 트레일 미드레이어 하프집업," 99,000 ",30%," 69,300 ",트레일위크,2026-09-05,2026-09-18
HJ9025-902,용품,NSW 카고 토드백," 95,000 ",30%," 66,500 ",트레일위크,2026-09-05,2026-09-18
HV9489-010,의류,NSW 티셔츠 위닝 이너프," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
HV9491-100,의류,NSW 티셔츠 위닝 원," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
HV9495-010,의류,NSW 티셔츠 위닝 콰이어틀리," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
HV9497-010,의류,NSW 티셔츠 위닝 이너프," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
HV9500-010,의류,NSW 티셔츠 위닝 콰이어틀리," 35,000 ",30%," 24,500 ",트레일위크,2026-09-05,2026-09-18
FB7452-464,의류,패스트 리펠 자켓," 125,000 ",30%," 87,500 ",트레일위크,2026-09-05,2026-09-18
FV9950-247,의류,드라이핏 트레일 스트라이드 MB 쇼츠 7인치 브리프라인드 쇼츠," 79,000 ",30%," 55,300 ",트레일위크,2026-09-05,2026-09-18
FZ1081-809,의류,드라이핏 라이즈 365 런 에너지 숏슬리브탑," 69,000 ",30%," 48,300 ",트레일위크,2026-09-05,2026-09-18
DV9306-121,의류,드라이핏 트레일 솔라체이스," 75,000 ",30%," 52,500 ",트레일위크,2026-09-05,2026-09-18
DX0994-010,의류,드라이핏 티 RLGD 롱슬리브 리셋," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
DX6822-010,의류,스우시 미디엄 서포트 브라," 49,000 ",30%," 34,300 ",트레일위크,2026-09-05,2026-09-18
FN2329-085,의류,에어로스위프트 드라이핏 ADV 미드라이즈 3인치 쇼츠," 95,000 ",30%," 66,500 ",트레일위크,2026-09-05,2026-09-18
HM8292-100,의류,드라이핏 파운더스 숏슬리브탑," 45,000 ",30%," 31,500 ",트레일위크,2026-09-05,2026-09-18
FN3353-085,의류,드라이핏 ADV 에어로스위프트 4인치 브리프라인드 쇼츠," 105,000 ",30%," 73,500 ",트레일위크,2026-09-05,2026-09-18
SX7554-010,용품,멀티플라이어," 29,000 ",30%," 20,300 ",트레일위크,2026-09-05,2026-09-18
SX6888-010,용품,에브리데이 플러스 쿠션드," 29,000 ",30%," 20,300 ",트레일위크,2026-09-05,2026-09-18
FZ5763-157,용품,드라이 핏 경량 글로브," 59,000 ",30%," 41,300 ",트레일위크,2026-09-05,2026-09-18
HQ2350-012,용품,드라이 핏 트레일 랩," 49,000 ",30%," 34,300 ",트레일위크,2026-09-05,2026-09-18
AC4466-127,용품,프로 엘리트 슬리브 2.0," 69,000 ",30%," 48,300 ",트레일위크,2026-09-05,2026-09-18
DX7120-109,용품,라이트웨이트 슬리브 2.0," 33,000 ",30%," 23,100 ",트레일위크,2026-09-05,2026-09-18
DX7120-042,용품,라이트웨이트 슬리브 2.0," 33,000 ",30%," 23,100 ",트레일위크,2026-09-05,2026-09-18
N1ZKGM1-002,신발,제락 01," 268,000 ",30%," 187,600 ",트레일위크,2026-09-05,2026-09-18
N1ZKGM1-003,신발,제락 01," 268,000 ",30%," 187,600 ",트레일위크,2026-09-05,2026-09-18
N1ZKGM1-004,신발,제락 01," 268,000 ",30%," 187,600 ",트레일위크,2026-09-05,2026-09-18
N2ZTRW1-002,신발,토미르 WP," 248,000 ",30%," 173,600 ",트레일위크,2026-09-05,2026-09-18
NBNAE4P05280,의류,러닝 재킷," 129,000 ",30%," 90,300 ",트레일위크,2026-09-05,2026-09-18
NBNEE4P04219,의류,에슬레틱 러닝 셔츠(스탠다드핏)," 49,900 ",30%," 34,930 ",트레일위크,2026-09-05,2026-09-18
NBNEE4P14117,의류,에슬레틱 프린트 런닝 반팔 티셔츠," 59,900 ",30%," 41,930 ",트레일위크,2026-09-05,2026-09-18
NBNTE4P08119,의류,AC 스트레치 우븐 팬츠 (스탠다드핏)," 99,900 ",30%," 69,930 ",트레일위크,2026-09-05,2026-09-18
NBNVE4P02219,의류,RC 3부 숏 팬츠 (스탠다드핏)," 79,900 ",30%," 55,930 ",트레일위크,2026-09-05,2026-09-18
BD620653-4031,용품,스프린트 225 헤드램프," 90,000 ",30%," 63,000 ",트레일위크,2026-09-05,2026-09-18
L47440800,신발,S/LAB 제네시스," 278,000 ",30%," 194,600 ",트레일위크,2026-09-05,2026-09-18
